ID,Ballot_Number
4,1
5,2
7,3
8,4
29,5
48,6
49,7
86,8
131,9
132,10
133,11
134,12
421,13
422,14
423,15
424,16
425,17
426,18
427,19
428,20
429,21
430,22
431,23
432,24
433,25
562,26
563,27
679,28
789,29
790,30
877,31
1187,32
1188,33
1189,34
1318,35
1319,36
1320,37
1436,38
1437,39
1438,40
1439,41
1440,42
1441,43
1442,44
1689,45
33,1
46,2
204,3
208,4
209,5
459,6
461,7
462,8
664,9
665,10
772,11
774,12
775,13
776,14
778,15
1040,16
1158,17
1159,18
1160,19
1161,20
1163,21
1164,22
1165,23
1271,24
1273,25
1274,26
1558,27
1560,28
1666,29
1794,30
1800,31
205,1
206,2
210,3
666,4
773,5
777,6
1162,7
1166,8
1272,9
32,1
91,2
94,3
96,4
147,5
226,6
227,7
230,8
232,9
394,10
395,11
396,12
408,13
411,14
643,15
651,16
655,17
749,18
994,19
1194,20
1199,21
1310,22
17,1
18,2
30,3
55,4
56,5
57,6
98,7
138,8
140,9
141,10
143,11
149,12
150,13
231,14
235,15
236,16
399,17
402,18
403,19
409,20
412,21
417,22
420,23
637,24
640,25
644,26
645,27
647,28
649,29
652,30
654,31
656,32
661,33
748,34
899,35
902,36
995,37
996,38
998,39
999,40
1192,41
1195,42
1197,43
1198,44
1309,45
1587,46
19,1
20,2
21,3
92,4
95,5
97,6
144,7
145,8
151,9
228,10
233,11
234,12
397,13
400,14
405,15
406,16
410,17
419,18
639,19
650,20
653,21
659,22
747,23
824,24
825,25
900,26
901,27
997,28
1196,29
1451,30
1454,31
1455,32
1457,33
1,1
31,2
142,3
146,4
148,5
229,6
237,7
238,8
401,9
407,10
413,11
414,12
415,13
646,14
648,15
657,16
658,17
823,18
1308,19
1453,20
2,1
52,2
69,3
72,4
73,5
85,6
104,7
109,8
110,9
163,10
167,11
223,12
225,13
275,14
276,15
302,16
304,17
305,18
307,19
313,20
314,21
317,22
318,23
320,24
321,25
362,26
481,27
579,28
621,29
622,30
623,31
624,32
625,33
629,34
630,35
632,36
634,37
636,38
688,39
728,40
730,41
746,42
761,43
762,44
767,45
768,46
787,47
848,48
849,49
851,50
852,51
853,52
854,53
856,54
857,55
863,56
918,57
935,58
937,59
939,60
941,61
942,62
967,63
968,64
1005,65
1107,66
1108,67
1109,68
1111,69
1114,70
1115,71
1117,72
1120,73
1121,74
1286,75
1287,76
1288,77
1289,78
1291,79
1372,80
1388,81
1389,82
1390,83
1391,84
1393,85
1394,86
1396,87
1398,88
1399,89
1400,90
1401,91
1402,92
1403,93
1404,94
1405,95
1406,96
1407,97
1409,98
1589,99
1591,100
1592,101
1593,102
1594,103
1692,104
1693,105
1695,106
1697,107
1698,108
1700,109
1701,110
1702,111
1703,112
1704,113
42,1
105,2
111,3
165,4
301,5
311,6
315,7
480,8
628,9
633,10
766,11
788,12
855,13
936,14
1113,15
1123,16
308,1
312,2
482,3
577,4
578,5
582,6
626,7
631,8
934,9
938,10
969,11
1118,12
1122,13
1408,14
166,1
306,2
363,3
581,4
1106,5
1116,6
1119,7
1190,8
1387,9
1392,10
1397,11
9,1
164,2
224,3
316,4
361,5
483,6
627,7
850,8
970,9
1110,10
1290,11
1590,12
1696,13
23,1
99,2
154,3
155,4
156,5
157,6
242,7
243,8
