#,Region/ المنطقة,PC Code/ رمز مركز الانتخاب,Office #/ الللجنة الانتخابية #,Office/ الللجنة الانتخابية ,Main C/ الدائرة الانتخابية الرئيسية,SubC # / رقم الدائرة الفرعية ,SubC name / الدائرة الفرعية,Name PC,Mahalla / المحلة,Village / المدينة/القرية,نوع المركز / Type,E  خط العرض   / Coordinates E,N  خط العرض   / Coordinates N
1180,الشرقية,31001,12,طبرق,الأولى,1,طبرق,مدرسة شهداء عين الغزالة,عين الغزالة,طبرق,1عام,,
1181,الشرقية,31002,12,طبرق,الأولى,1,طبرق,مدرسة الفضيل بوعمر,القرضبة,طبرق,1عام,,
1182,الشرقية,31003,12,طبرق,الأولى,1,طبرق,مدرسة الشهيد رجب بوحويش,بالخاثر,طبرق,1عام,,
1183,الشرقية,31004,12,طبرق,الأولى,1,طبرق,مدرسة المرصص,المرصص,طبرق,1عام,,
1184,الشرقية,31005,12,طبرق,الأولى,1,طبرق,مدرسة موسي اهويدي,المدينة,طبرق,1عام,,
1185,الشرقية,31006,12,طبرق,الأولى,1,طبرق,مدرسة القدس,المدينة,طبرق,1عام,,
1186,الشرقية,31007,12,طبرق,الأولى,1,طبرق,مدرسة الزهور,المدينة,طبرق,1عام,,
1187,الشرقية,31008,12,طبرق,الأولى,1,طبرق,مدرسة اسامة بن زيد,المدينة,طبرق,1عام,,
1188,الشرقية,31009,12,طبرق,الأولى,1,طبرق,مدرسة عمر المختار,المدينة,طبرق,1عام,,
1189,الشرقية,31010,12,طبرق,الأولى,1,طبرق,مدرسة فاطمة الزهراء,المدينة,طبرق,1عام,,
1190,الشرقية,31011,12,طبرق,الأولى,1,طبرق,مدرسة اسماء ينت ابي بكر,المدينة,طبرق,1عام,,
1191,الشرقية,31012,12,طبرق,الأولى,1,طبرق,مدرسة طبرق الثانوية,المدينة,طبرق,1عام,,
1192,الشرقية,31013,12,طبرق,الأولى,1,طبرق,مدرسة الانتصار,المدينة,طبرق,1عام,,
1193,الشرقية,31014,12,طبرق,الأولى,1,طبرق,مدرسة الشيخ المبري,المدينة,طبرق,1عام,,
1194,الشرقية,31015,12,طبرق,الأولى,1,طبرق,مدرسة علي بن ابي طالب,المدينة,طبرق,1عام,,
1195,الشرقية,31016,12,طبرق,الأولى,1,طبرق,مدرسة عطية لياس,المدينة,طبرق,1عام,,
1196,الشرقية,31017,12,طبرق,الأولى,1,طبرق,مدرسة بدر الكبري,المدينة,طبرق,1عام,,
1197,الشرقية,31018,12,طبرق,الأولى,1,طبرق,مدرسة الفيحاء,المدينة,طبرق,1عام,,
1198,الشرقية,31019,12,طبرق,الأولى,1,طبرق,مدرسة علي حسن الجابر,المدينة,طبرق,1عام,,
1199,الشرقية,31020,12,طبرق,الأولى,1,طبرق,مدرسة خديجة الكبري,المدينة,طبرق,1عام,,
1200,الشرقية,31021,12,طبرق,الأولى,1,طبرق,مدرسة صالح الحداد,المدينة,طبرق,1عام,,
1201,الشرقية,31022,12,طبرق,الأولى,1,طبرق,مدرسة المنار,المدينة,طبرق,1عام,,
1202,الشرقية,31023,12,طبرق,الأولى,1,طبرق,مدرسة المجد,المدينة,طبرق,1عام,,
1203,الشرقية,31024,12,طبرق,الأولى,1,طبرق,مدرسة ابن خلدون,المدينة,طبرق,1عام,,
1204,الشرقية,31025,12,طبرق,الأولى,1,طبرق,مدرسة صلاح الدين,المدينة,طبرق,1عام,,
1205,الشرقية,31026,12,طبرق,الأولى,1,طبرق,مدرسة الحرية,الجهاد,طبرق,1عام,,
1206,الشرقية,31027,12,طبرق,الأولى,1,طبرق,مدرسة الخليل مصطفي,الجهاد,طبرق,1عام,,
1207,الشرقية,31028,12,طبرق,الأولى,1,طبرق,مدرسة الفاروق,الجهاد,طبرق,1عام,,
1208,الشرقية,31029,12,طبرق,الأولى,1,طبرق,مدرسة الشعله,الجهاد,طبرق,1عام,,
1209,الشرقية,31030,12,طبرق,الأولى,1,طبرق,مدرسة الجهاد,الجهاد,طبرق,1عام,,
1210,الشرقية,31031,12,طبرق,الأولى,1,طبرق,مدرسة الشهيد بوعطيوة,الجهاد,طبرق,1عام,,
1211,الشرقية,31032,12,طبرق,الأولى,1,طبرق,مدرسة سليمان بوعلجية,باب الزيتون,طبرق,1عام,,
1212,الشرقية,31033,12,طبرق,الأولى,1,طبرق,مدرسة عمر المختار الثانوية,عمر المختار,طبرق,1عام,,
1213,الشرقية,31034,12,طبرق,الأولى,1,طبرق,مدرسة النسور,عمر المختار,طبرق,1عام,,
1214,الشرقية,31035,12,طبرق,الأولى,1,طبرق,مدرسة القعرة الاعدادية,القعرة,طبرق,1عام,,
1215,الشرقية,31036,12,طبرق,الأولى,1,طبرق,مدرسة سمرقند,كمبوت,طبرق,1عام,,
1216,الشرقية,31037,12,طبرق,الأولى,1,طبرق,مدرسة كمبوت الثانوية,كمبوت,طبرق,1عام,,
1217,الشرقية,31038,12,طبرق,الأولى,1,طبرق,مدرسة جنزور,جنزور,طبرق,1عام,,
1218,الشرقية,31039,12,طبرق,الأولى,1,طبرق,مدرسة مرسي لك,مرسي لك,طبرق,1عام,,
1219,الشرقية,31040,12,طبرق,الأولى,1,طبرق,مدرسة خالد بن الوليد,البردى,طبرق,1عام,,
1220,الشرقية,31041,12,طبرق,الأولى,1,طبرق,مدرسة قصر الجدي الثانوية,قصر الجدي,طبرق,1عام,,
1221,الشرقية,31042,12,طبرق,الأولى,1,طبرق,مدرسة أم ركبة,أم ركبة,طبرق,1عام,,
1222,الشرقية,31043,12,طبرق,الأولى,1,طبرق,مدرسة ابن سينا,الساحل,طبرق,1عام,,
1223,الشرقية,31044,12,طبرق,الأولى,1,طبرق,مدرسة راس عزاز,رأس عزاز,طبرق,1عام,,
1224,الشرقية,31045,12,طبرق,الأولى,1,طبرق,مدرسة عقبه بن نافع,شماس,طبرق,1عام,,
1225,الشرقية,31046,12,طبرق,الأولى,1,طبرق,مدرسة بئر الاشهب,بئر الأشهب,طبرق,1عام,,
1226,الشرقية,31047,12,طبرق,الأولى,1,طبرق,مدرسة بئر الاشهب الثانوية,بئر الأشهب,طبرق,1عام,,
1227,الشرقية,31048,12,طبرق,الأولى,1,طبرق,مدرسة امساعد,امساعد,طبرق,1عام,,
1228,الشرقية,31049,12,طبرق,الأولى,1,طبرق,مدرسة الطليعه,امساعد,طبرق,1عام,,
1229,الشرقية,31050,12,طبرق,الأولى,1,طبرق,مدرسة الشعبه,الشعبة,طبرق,1عام,,
1230,الشرقية,31051,12,طبرق,الأولى,1,طبرق,مدرسة الجغبوب,الجغبوب,طبرق,1عام,,
1232,الشرقية,31053,12,طبرق,الأولى,1,طبرق,مدرسة قابس,كمبوت,طبرق,1عام,,
1234,الشرقية,31055,12,طبرق,الأولى,1,طبرق,مدرسة حفلس,كمبوت,طبرق,1عام,,
1237,الشرقية,32001,13,درنة,الأولى,2,القبة,الكرامة,القبة,القبة,1عام,,
1238,الشرقية,32002,13,درنة,الأولى,2,القبة,الإخلاص,القبة,القبة,1عام,,
1239,الشرقية,32003,13,درنة,الأولى,2,القبة,إبراهيم بكار,القبة,القبة,1عام,,
1240,الشرقية,32004,13,درنة,الأولى,2,القبة,أسماء للتعليم الأساسي,القبة,القبة,1عام,,
1241,الشرقية,32005,13,درنة,الأولى,2,القبة,أفريقيا للتعليم الثانوي,القبة,القبة,1عام,,
1242,الشرقية,32006,13,درنة,الأولى,2,القبة,بيت ثامر,بيت ثامر,القبة,1عام,,
1243,الشرقية,32007,13,درنة,الأولى,2,القبة,عوض العبيدي,لملودة,القبة,1عام,,
1244,الشرقية,32008,13,درنة,الأولى,2,القبة,الفضيل بوعمر,الدبوسية,القبة,1عام,,
1245,الشرقية,32009,13,درنة,الأولى,2,القبة,التقدم,الأبرق,القبة,1عام,,
1246,الشرقية,32010,13,درنة,الأولى,2,القبة,الابرق الأساسية,الأبرق,القبة,1عام,,
1247,الشرقية,32011,13,درنة,الأولى,2,القبة,ادريس بوبنة,القيقب,القبة,1عام,,
1248,الشرقية,32012,13,درنة,الأولى,2,القبة,المجد,القيقب,القبة,1عام,,
1249,الشرقية,32013,13,درنة,الأولى,2,القبة,ترت,ترت,القبة,1عام,,
1250,الشرقية,32014,13,درنة,الأولى,2,القبة,شهداء المحجة,خولان,القبة,1عام,,
1251,الشرقية,32015,13,درنة,الأولى,2,القبة,راس الهلال,رأس الهلال,القبة,1عام,,
1252,الشرقية,32016,13,درنة,الأولى,2,القبة,مدرسة خالد ابن الوليد,سيدي خالد,القبة,1عام,,
1253,الشرقية,32017,13,درنة,الأولى,2,القبة,شهداء الخرص,عين مارة,القبة,1عام,,
1254,الشرقية,32018,13,درنة,الأولى,2,القبة,عين مارة,عين مارة,القبة,1عام,,
1255,الشرقية,32019,13,درنة,الأولى,2,القبة,طارق بن زياد,لالى,القبة,1عام,,
1256,الشرقية,32020,13,درنة,الأولى,2,القبة,المخيلي,المخيلى,القبة,1عام,,
