Ballot Number,PC Code/ رمز مركز الانتخاب,Station,Gender,Name PC,Office/ الللجنة الانتخابية ,Office #/ الللجنة الانتخابية #,Bar Code Number,Serial Number
1,11001,1,Male,عمر بن الخطاب,سرت,1,110010101,01000001
1,11001,2,Female,عمر بن الخطاب,سرت,1,110010201,1000002
1,11002,1,Male,اشميخ,سرت,1,110020101,1000003
1,11002,2,Female,اشميخ,سرت,1,110020201,1000004
1,11003,1,Male,مدرسة النجم الساطع,سرت,1,110030101,1000005
1,11003,2,Female,مدرسة النجم الساطع,سرت,1,110030201,1000006
1,11004,1,Male,إفريقيا,سرت,1,110040101,1000007
1,11004,2,Female,إفريقيا,سرت,1,110040201,1000008
1,11005,1,Male,الفاروق,سرت,1,110050101,1000009
1,11005,2,Female,الفاروق,سرت,1,110050201,1000010
1,11006,1,Male,افاق المستقبل,سرت,1,110060101,1000011
1,11006,2,Female,افاق المستقبل,سرت,1,110060201,1000012
1,11007,1,Male,الإمام مالك إبن أنس,سرت,1,110070101,1000013
1,11007,2,Female,الإمام مالك إبن أنس,سرت,1,110070201,1000014
1,11008,1,Male,مدرسة الامام ورش,سرت,1,110080101,1000015
1,11008,2,Female,مدرسة الامام ورش,سرت,1,110080201,1000016
1,11009,1,Male,بدر الكبرى,سرت,1,110090101,1000017
1,11009,2,Female,بدر الكبرى,سرت,1,110090201,1000018
1,11010,1,Male,الشهيد حافظ المدني,سرت,1,110100101,1000019
1,11010,2,Female,الشهيد حافظ المدني,سرت,1,110100201,1000020
1,11011,1,Male,القدس,سرت,1,110110101,1000021
1,11011,2,Female,القدس,سرت,1,110110201,1000022
1,11012,1,Male,سناء محيدلي,سرت,1,110120101,1000023
1,11012,2,Female,سناء محيدلي,سرت,1,110120201,1000024
1,11013,1,Male,محمد جمال الدرة,سرت,1,110130101,1000025
1,11013,2,Female,محمد جمال الدرة,سرت,1,110130201,1000026
1,11014,1,Male,علي بن أبي طالب,سرت,1,110140101,1000027
1,11014,2,Female,علي بن أبي طالب,سرت,1,110140201,1000028
1,11015,1,Male, قضوار السهولي,سرت,1,110150101,1000029
1,11015,2,Female, قضوار السهولي,سرت,1,110150201,1000030
1,11016,1,Male,خالد بن الوليد,سرت,1,110160101,1000031
1,11016,2,Female,خالد بن الوليد,سرت,1,110160201,1000032
1,11017,1,Male,مدرسة اسامة بن زيد ,سرت,1,110170101,1000033
1,11017,2,Female,مدرسة اسامة بن زيد ,سرت,1,110170201,1000034
1,11018,1,Male,موسى بن نصير,سرت,1,110180101,1000035
1,11018,2,Female,موسى بن نصير,سرت,1,110180201,1000036
1,11019,1,Male,الأمل,سرت,1,110190101,1000037
1,11019,2,Female,الأمل,سرت,1,110190201,1000038
1,11020,1,Male,عمرو بن العاص,سرت,1,110200101,1000039
1,11020,2,Female,عمرو بن العاص,سرت,1,110200201,1000040
1,11021,1,Male,مدرسة السلام,سرت,1,110210101,1000041
1,11021,2,Female,مدرسة السلام,سرت,1,110210201,1000042
1,11022,1,Male,بني وليد الشمالية,سرت,1,110220101,1000043
1,11022,2,Female,بني وليد الشمالية,سرت,1,110220201,1000044
1,11023,1,Male,عمر المختار,سرت,1,110230101,1000045
1,11023,2,Female,عمر المختار,سرت,1,110230201,1000046
1,11024,1,Male,الوحدة العربية,سرت,1,110240101,1000047
1,11024,2,Female,الوحدة العربية,سرت,1,110240201,1000048
1,11025,1,Male,الإجلاء سابقا,سرت,1,110250101,1000049
1,11025,2,Female,الإجلاء سابقا,سرت,1,110250201,1000050
1,11026,1,Male,الاستقلال,سرت,1,110260101,1000051
1,11026,2,Female,الاستقلال,سرت,1,110260201,1000052
